Industry,Sub-Industry,Code,Description
,Crop Production,111100, Oilseed & Grain Farming
,Crop Production,111210, Vegetable & Melon Farming (including potatoes & yams)
,Crop Production,111300, Fruit & Tree Nut Farming
,Crop Production,111400," Greenhouse, Nursery, & Floriculture Production"
,Crop Production,111100, Oilseed & Grain Farming
,Crop Production,111210, Vegetable & Melon Farming (including potatoes & yams)
,Crop Production,111300, Fruit & Tree Nut Farming
,Crop Production,111400," Greenhouse, Nursery, & Floriculture Production"
,Animal Production,112111, Beef Cattle Ranching & Farming
,Animal Production,112112, Cattle Feedlots
,Animal Production,112120, Dairy Cattle & Milk Production
,Animal Production,112210, Hog & Pig Farming
,Animal Production,112300, Poultry & Egg Production
,Animal Production,112400, Sheep & Goat Farming
,Animal Production,112510, Aquaculture (including shellfish & finfish farms & hatcheries)
,Animal Production,112900, Other Animal Production
,Forestry And Logging,113110, Timber Tract Operations
,Forestry And Logging,113210, Forest Nurseries & Gathering of Forest Products
,Forestry And Logging,113310, Logging
,"Fishing, Hunting And Trapping",114110, Fishing
,"Fishing, Hunting And Trapping",114210, Hunting & Trapping
,"Preparation, Planting, & Cultivating)",115210, Support Activities for Animal Production
,"Preparation, Planting, & Cultivating)",115310, Support Activities for Forestry
,Mining,211110, Oil & Gas Extraction
,Mining,212110, Coal Mining
,Mining,212200, Metal Ore Mining
,Mining,212310, Stone Mining & Quarrying
,Quarrying,212390, Other Nonmetallic Mineral Mining & Quarrying
,Quarrying,213110, Support Activities for Mining
,Utilities,221100," Electric Power Generation, Transmission & Distribution"
,Utilities,221210, Natural Gas Distribution
,Utilities,221300," Water, Sewage & Other Systems"
,Utilities,221500, Combination Gas & Electric
,Construction Of Buildings,236110, Residential Building Construction
,Construction Of Buildings,236200, Nonresidential Building Construction
,Heavy And Civil Engineering Construction,237100, Utility System Construction
,Heavy And Civil Engineering Construction,237210, Land Subdivision
,Heavy And Civil Engineering Construction,237310," Highway, Street, & Bridge Construction"
,Heavy And Civil Engineering Construction,237990, Other Heavy & Civil Engineering Construction
,"Framing Carpentry, Masonry, Glass, Roofing, & Siding)",238210, Electrical Contractors
,"Framing Carpentry, Masonry, Glass, Roofing, & Siding)",238220," Plumbing, Heating, & Air-Conditioning Contractors"
,"Framing Carpentry, Masonry, Glass, Roofing, & Siding)",238290, Other Building Equipment Contractors
,"Wallcovering, Flooring, Tile, & Finish Carpentry)",238900, Other Specialty Trade Contractors (including site preparation)
,Food Manufacturing,311110, Animal Food Mfg
,Food Manufacturing,311200, Grain & Oilseed Milling
,Food Manufacturing,311300, Sugar & Confectionary Product Mfg
,Food Manufacturing,311400, Fruit & Vegetable Preserving & Specialty Food Mfg
,Food Manufacturing,311500, Dairy Product Mfg
,Food Manufacturing,311610, Animal Slaughtering and Processing
,Food Manufacturing,311710, Seafood Product Preparation & Packaging
,Food Manufacturing,311800," Bakeries, Tortilla & Dry Pasta Mfg"
,Food Manufacturing,311900," Other Food Mfg (including coffee, tea, flavorings & seasonings)"
,Beverage And Tobacco Product Manufacturing,312110, Soft Drink & Ice Mfg
,Beverage And Tobacco Product Manufacturing,312120, Breweries
,Beverage And Tobacco Product Manufacturing,312130, Wineries
,Beverage And Tobacco Product Manufacturing,312140, Distilleries
,Beverage And Tobacco Product Manufacturing,312200, Tobacco Manufacturing
,Textile Mills And Textile Product Mills,313000, Textile Mills
,Textile Mills And Textile Product Mills,314000, Textile Product Mills
,Apparel Manufacturing,315100, Apparel Knitting Mills
,Apparel Manufacturing,315210, Cut & Sew Apparel Contractors
,Apparel Manufacturing,315220, Men's & Boys' Cut & Sew Apparel Mfg.
,Apparel Manufacturing,315240," Women's, Girls' and Infants' Cut & Sew Apparel Mfg."
,Apparel Manufacturing,315280, Other Cut & Sew Apparel Mfg
,Apparel Manufacturing,315990, Apparel Accessories & Other Apparel Mfg
,Leather And Allied Product Manufacturing,316110," Leather & Hide Tanning, & Finishing"
,Leather And Allied Product Manufacturing,316210, Footwear Mfg (including rubber & plastics)
,Leather And Allied Product Manufacturing,316990, Other Leather & Allied Product Mfg
,Wood Product Manufacturing,321110, Sawmills & Wood Preservation
,Wood Product Manufacturing,321210," Veneer, Plywood, & Engineered Wood Product Mfg"
,Wood Product Manufacturing,321900, Other Wood Product Mfg
,Paper Manufacturing,322100," Pulp, Paper, & Paperboard Mills"
,Paper Manufacturing,322200, Converted Paper Product Mfg
,Printing And Related Support Activities,323100, Printing & Related Support Activities
,Petroleum And Coal Products Manufacturing,324110, Petroleum Refineries (including integrated)
,Petroleum And Coal Products Manufacturing,324120," Asphalt Paving, Roofing, & Saturated Materials Mfg"
,Petroleum And Coal Products Manufacturing,324190, Other Petroleum & Coal Products Mfg
,Chemical Manufacturing,325100, Basic Chemical Mfg
,Chemical Manufacturing,325200," Resin, Synthetic Rubber, & Artificial & Synthetic Fibers & Filaments Mfg"
,Chemical Manufacturing,325300," Pesticide, Fertilizer, & Other Agricultural Chemical Mfg"
,Chemical Manufacturing,325410, Pharmaceutical & Medicine Mfg
,Chemical Manufacturing,325500," Paint, Coating, & Adhesive Mfg"
,Chemical Manufacturing,325600," Soap, Cleaning Compound, & Toilet Preparation Mfg"
,Chemical Manufacturing,325900, Other Chemical Product & Preparation Mfg
,Plastics And Rubber Products Manufacturing,326100, Plastics Product Mfg
,Plastics And Rubber Products Manufacturing,326200, Rubber Product Mfg
,Nonmetallic Mineral Productmanufacturing,327100, Clay Product & Refractory Mfg
,Nonmetallic Mineral Productmanufacturing,327210, Glass & Glass Product Mfg
,Nonmetallic Mineral Productmanufacturing,327300, Cement & Concrete Product Mfg
,Nonmetallic Mineral Productmanufacturing,327400, Lime & Gypsum Product Mfg
,Nonmetallic Mineral Productmanufacturing,327900, Other Nonmetallic Mineral Product Mfg
,Primary Metal Manufacturing,331110, Iron & Steel Mills & Ferroalloy Mfg
,Primary Metal Manufacturing,331200, Steel Product Mfg from Purchased Steel
,Primary Metal Manufacturing,331310, Alumina & Aluminum Production & Processing
,Primary Metal Manufacturing,331400, Nonferrous Metal (except Aluminum) Production & Processing
,Primary Metal Manufacturing,331500, Foundries
,Fabricated Metal Product Manufacturing,332110, Forging & Stamping
,Fabricated Metal Product Manufacturing,332210, Cutlery & Handtool Mfg
,Fabricated Metal Product Manufacturing,332300, Architectural & Structural Metals Mfg
,Fabricated Metal Product Manufacturing,332400," Boiler, Tank, & Shipping Container Mfg"
,Fabricated Metal Product Manufacturing,332510, Hardware Mfg
